Autor;Sprecher;Titel;Orginaldatei;Datei;Start;End;Length;Size;Translated0;OriginalText;Action;Sort1
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 001.mp3;Daniel Kehlmann - Tyll - 001 (00069-00236).mp3;69;236;139;58933;sie hören till von daniel kehlmann;sie hören till von daniel kehlmann;translate;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 001.mp3;Daniel Kehlmann - Tyll - 001 (00251-00316).mp3;251;316;65;27586;gelesen von ulrich noethen;gelesen von ulrich noethen;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 001.mp3;Daniel Kehlmann - Tyll - 001 (00344-00430).mp3;344;430;86;36363;ein hörbuch des argon verlags;ein hörbuch des argon verlags;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 001.mp3;Daniel Kehlmann - Tyll - 001 (00567-00632).mp3;567;632;65;27586;schuhe;schuhe;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 001.mp3;Daniel Kehlmann - Tyll - 001 (00666-00752).mp3;666;752;86;36363;der krieg war bisher nicht zu uns gekommen;der krieg war bisher nicht zu uns gekommen;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 001.mp3;Daniel Kehlmann - Tyll - 001 (00786-00857).mp3;786;857;71;30094;wir lebten in furcht und hoffnung;wir lebten in furcht und hoffnung;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 001.mp3;Daniel Kehlmann - Tyll - 001 (00890-01078).mp3;890;1078;188;78995;und versuchten gottes zorn nicht auf unsere fest von mauern umschlossene stadt zu ziehen;und versuchten gottes zorn nicht auf unsere fest von mauern umschlossene stadt zu ziehen;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 001.mp3;Daniel Kehlmann - Tyll - 001 (01108-01394).mp3;1108;1394;286;119955;mit ihren hundertfünf häusern und der kirche und dem friedhof wo unsere vorfahren auf den tag der auferstehung warteten;mit ihren hundertfünf häusern und der kirche und dem friedhof wo unsere vorfahren auf den tag der auferstehung warteten;train7;1
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 001.mp3;Daniel Kehlmann - Tyll - 001 (01461-01581).mp3;1461;1581;120;50574;wir beteten viel um den krieg fernzuhalten;wir beteten viel um den krieg fernzuhalten;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 001.mp3;Daniel Kehlmann - Tyll - 001 (01616-01694).mp3;1616;1694;78;33019;zum allmächtigen beteten wir;zum allmächtigen beteten wir;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 001.mp3;Daniel Kehlmann - Tyll - 001 (01712-01777).mp3;1712;1777;65;27586;und zur gütigen jungfrau;und zur gütigen jungfrau;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 001.mp3;Daniel Kehlmann - Tyll - 001 (01832-01994).mp3;1832;1994;159;67293;wir beteten zur herrin des waldes und zu den kleinen leuten der mitternacht;wir beteten zur herrin des waldes und zu den kleinen leuten der mitternacht;train7;101
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 001.mp3;Daniel Kehlmann - Tyll - 001 (02022-02087).mp3;2022;2087;65;27586;zum heiligen gerwin;zum heiligen gerwin;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 001.mp3;Daniel Kehlmann - Tyll - 001 (02086-02233).mp3;2086;2233;139;58934;zu petrus dem torwächter zum evangelisten johannes;zu petrus dem torwächter zum evangelisten johannes;train7;10100
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 001.mp3;Daniel Kehlmann - Tyll - 001 (02268-02631).mp3;2268;2631;363;152138;und sicherheitshalber beteten wir auch zur alten mela die in den rauen nächten wenn die dämonen frei wandeln dürfen vor ihrem gefolge her durch die himmel streift;und sicherheitshalber beteten wir auch zur alten mela die in den rauen nächten wenn die dämonen frei wandeln dürfen vor ihrem gefolge her durch die himmel streift;train7;110101
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 001.mp3;Daniel Kehlmann - Tyll - 001 (02678-02808).mp3;2678;2808;130;54753;wir beteten zu den gehörnten der alten tage;wir beteten zu den gehörnten der alten tage;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 001.mp3;Daniel Kehlmann - Tyll - 001 (02818-03021).mp3;2818;3021;203;85264;und zum bischof martin der seinen mantel mit dem bettler geteilt hatte als es diesen fror;und zum bischof martin der seinen mantel mit dem bettler geteilt hatte als es diesen fror;train7;10010
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 001.mp3;Daniel Kehlmann - Tyll - 001 (03039-03309).mp3;3039;3309;251;105744;sodass sie danach beide froren und beide gottgefällig waren denn was nützt ein halber mantel im winter;sodass sie danach beide froren und beide gottgefällig waren denn was nützt ein halber mantel im winter;train7;20000
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 001.mp3;Daniel Kehlmann - Tyll - 001 (03365-03586).mp3;3365;3586;221;92787;und natürlich beteten wir zum heiligen moritz der mit einer ganzen legion den tod gewählt hatte;und natürlich beteten wir zum heiligen moritz der mit einer ganzen legion den tod gewählt hatte;train7;100
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 001.mp3;Daniel Kehlmann - Tyll - 001 (03585-03731).mp3;3585;3731;146;61440;um nicht seinen glauben an den einen und gerechten gott zu verraten;um nicht seinen glauben an den einen und gerechten gott zu verraten;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 001.mp3;Daniel Kehlmann - Tyll - 001 (03772-04006).mp3;3772;4006;225;94877;zwei mal im jahr kam der steuereintreiber und schien immer überrascht dass wir noch da waren;zweimal im jahr kam der steuereintreiber und schien immer überrascht dass wir noch da waren;train7;1
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 001.mp3;Daniel Kehlmann - Tyll - 001 (04020-04236).mp3;4020;4236;216;90698;hin und wieder kamen händler aber da wir nicht viel kauften zogen sie schnell ihrer wege und so war es uns recht;hin und wieder kamen händler aber da wir nicht viel kauften zogen sie schnell ihrer wege und so war es uns recht;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 001.mp3;Daniel Kehlmann - Tyll - 001 (04268-04354).mp3;4268;4354;86;36363;wir brauchten nichts aus der weiten welt;wir brauchten nichts aus der weiten welt;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 001.mp3;Daniel Kehlmann - Tyll - 001 (04356-04421).mp3;4356;4421;65;27586;und dachten nicht an sie;und dachten nicht an sie;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 001.mp3;Daniel Kehlmann - Tyll - 001 (04424-04663).mp3;4424;4663;239;100311;bis eines morgens ein planwagen gezogen von einem esel über unsere hauptstraße rollte;bis eines morgens ein planwagen gezogen von einem esel über unsere hauptstraße rollte;train;0
